Institución,Título,Autor,Grado,Asesor(es),Año,Resumen,Categoría
Universidad de Lima,Reestructuración del desembarcadero pesquero artesanal de Ilo,"Cruz Falcon, Paul, Maldonado Fuentes, Maria Angela","Trabajo de suficiencia profesional para optar el Título Profesional de Arquitecto, Universidad de Lima","Takano Valdivia, Karen",2022,"Actualmente, la infraestructura pesquera artesanal en el país ignora toda relación con el entorno urbano en el que se emplaza. La investigación surge a partir de esta problemática además del cumplimiento de la Norma Sanitaria n°040, la cual estipula lineamientos para una mejor calidad del producto pesquero. Tras la revisión de los DPA’s (Desembarcaderos pesqueros artesanales) actualmente en ejecución/remodelación, se encuentra al DPA de Ilo como el más crítico ya que no cuenta con un área de expansión, posee una infraestructura deficiente y se encuentra en contacto directo con el casco urbano antiguo de la ciudad, desarrollando un importante desafío: la convivencia entre el programa funcional del DPA (flujos productivos pesqueros) y el desarrollo de actividades públicas en un mismo espacio. Con la intención de abrir el puerto hacia la ciudad, sin alterar los flujos productivos pesqueros, surge la idea de continuar recorridos públicos como los que se llevan a cabo en el malecón costero y calles aledañas. Además, se integra programa complementario como el comercio minorista y difusión cultural. Esta reestructuración de un nuevo modelo arquitectónico de desembarcadero pesquero artesanal para Ilo mejorará su relación puerto-ciudad y traerá consigo mayores beneficios económicos y sociales tanto para los pescadores como sus habitantes.",Arquitectura / Urbanismo
Universidad de Lima,Recursos personales y resiliencia en adolescentes sin cuidados parentales,"Diaz Sono, Valeria, Zagal Mendoza, Fiorella","Tesis para optar el Título Profesional de Licenciado en Psicología, Universidad de Lima","Lindo Bárcena, Paola",2022,"El presente estudio tiene como objetivos generales describir la experiencia de los adolescentes antes y durante su estancia en el Centro de Acogida Residencial [CAR], identificar sus recursos personales y analizar las características de la resiliencia de los adolescentes sin cuidados parentales. El tipo de investigación es cualitativa y el diseño es fenomenológico. Además, los participantes, tanto hombres como mujeres, oscilan entre 12 y 17 años y pertenecen a un CAR de Lima. Asimismo, se utilizó como técnica de recolección de datos la entrevista semiestructurada compuesta por 22 preguntas guía y una actividad para completar frases. Para el análisis de la información recolectada, se realizó la reducción de toda la información, un análisis descriptivo y la interpretación de la información descrita en los puntos anteriores. Finalmente, se obtuvieron como resultados 3 categorías: experiencia del adolescente, recursos personales y resiliencia. Los resultados indican que los adolescentes han tenido experiencias disfuncionales familiares en el pasado; sin embargo, en la actualidad viven en un ambiente adaptativo y cuentan con el apoyo de sus hermanos y del CAR en el que residen. También se identificaron 5 recursos personales (autoconocimiento, deseo de cambio personal, inteligencia emocional, perspectiva de tiempo futuro y sentido del humor) en los participantes. Por último, se hallaron 3 elementos de la resiliencia: tipo de problemas, influencias del entorno y modo de afrontamiento del adolescente a situaciones adversas.",Psicología / Psicología social
Universidad de Lima,Hogar integral multidisciplinario para el adulto mayor en el Callao Monumental. Infraestructura para la reinserción de una población vulnerable a la sociedad. Aporte a la vida y a la ciudad,"De La Flor Llona, Sara","Trabajo de suficiencia profesional para optar el Título Profesional de Arquitecto, Universidad de Lima","More Gómez, Valerie",2022,"Esta investigación se basa en entender la situación actual mundial y nacional del adulto mayor, y el déficit que hoy se observa en nuestro país con respecto a la infraestructura dedicada a este sector de la población. Mundialmente, las pirámides poblacionales se están invirtiendo y este fenómeno no excluye al Perú. Se selecciona el Callao como punto de intervención al concentrar la mayor cantidad de PAM (persona adulta mayor), pero también porque es un área con mucho valor histórico y arquitectónico que en los últimos años se ha buscado recuperar. Para iniciar esta investigación se hizo un estudio de los hogares existentes en el área: la zona histórica del Callao, y se encontró que no hay ningún hogar del Estado. Por otro lado, del recorrido realizado se comprende que las deficiencias de infraestructura solo agregan a la segregación social de las personas mayores con su entorno social y con su ciudad. Hoy más que nunca entendemos la importancia de vivir en un entorno construido saludable y reconocemos que, como seres sociales que somos, no podemos aislarnos del mundo, ya que esto tiene efectos adversos en nuestra salud. Al entender la situación y entrar en contacto con las personas del Callao, se comprenden sus necesidades y sus pedidos de ayuda. Se propone entonces un hogar para el adulto mayor, complementado con un centro comunitario que buscará integrar a los distintos usuarios es una nueva infraestructura basada en el envejecimiento activo.",Arquitectura / Proyectos arquitectónicos
Universidad de Lima,Estudio de prefactibilidad para la instalación de una planta procesadora de harina de orujo de uva (vitis vinifera) a partir de subproductos de la industria vitivinícola,"Contreras Flores, Fernando Samir","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Bonilla Pastor de Céspedes, Elsie",2022,"The main objective of the project is to determine the technical, economic - financial
viability for the installation of a grape pomace flour processing plant; and, commercialize
it in 1 kg bags to the bakery companies of Metropolitan Lima.
The proposal for grape pomace flour is presented due to the increasingly high
demand for healthy products and the results in the acceptance levels of the market study.
The demand for the last year of operation amounts to 151 377 bags and, as a result, the
processing plant will be installed in the district of San Vicente de Cañete, Cañete
province, Lima with an approximate area of 891 m2.
The production process consists of the following operations: weighing, washing,
drying, grinding, sieving, mixing, bagging and boxing. Likewise, an installed capacity of
179 064 kg of finished product per year has been determined.
Regarding the result of the economic and financial analysis, a financial NPV of
S/ 2 464 493 and a financial IRR of 66,02% have been obtained. The NPV was calculated
over five years and with a Kc of 17,50%. With the aforementioned economic indicators,
it is expected to be profitable, with a Benefit / Cost ratio of 2,66 and recovering the
investment in the third year of operation.",Ingeniería industrial / Producción
Universidad de Lima,Implementación de un sistema ERP en la empresa Italpet S.A.C.,"Sinforoso Loayza, Manuel Francisco","Trabajo de suficiencia profesional para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Ahoki Pajuelo, Carlos Augusto",2022,"En el presente trabajo se detalla la mejora que se realizó en la empresa Italpet S.A.C. cuando se implementó un sistema ERP en el año 2018 con el fin de integrar por medio de un software las diferentes áreas de la empresa, logrando así mayor competitividad en las ventas y gestión de los recursos. Italpet S.A.C. es una empresa del rubro metalmecánico con presencia en el mercado peruano desde el año 1999. Se dedica a dar soluciones diversas a la industria de alimentos y bebidas tanto en maquinaria y servicios de ingeniería mecánica. Para este trabajo de implementación de un sistema ERP se usó la metodología de los siete pasos de la mejora continua. Primero se seleccionó las oportunidades de mejora analizando internamente y exteriormente la empresa, para luego como segundo paso se cuantifico y selecciono el problema principal en la empresa. Como tercer paso se analizó las causas raíces del problema por medio de un diagrama de Ishikawa. Se halló la más crítica por medio de su frecuencia e impacto sobre el problema principal, para luego identificar a través del diagrama de Pareto la causa raíz principal. En el cuarto paso se identificó los indicadores principales de gestión de la situación en la que se encontraba la empresa, luego se propuso una meta mejorar esos indicadores con la solución a implementar. El quinto paso es definir y proponer las soluciones, en el cual se escogió al proveedor más idóneo para implantar la solución y se realizó el cronograma de actividades. Como sexto paso se detalló la implementación del ERP y se evaluó cualitativamente y cuantitativamente los beneficios, presentando los nuevos indicadores de gestión luego de la implementación de la mejora y analizando el flujo neto económico. El séptimo paso de la mejora continua es establecer acciones de garantía, para lo cual se realizó constante capacitación al personal y se tomó acciones correctivas a los errores que fueron apareciendo durante la implementación del nuevo ERP.",Ingeniería industrial / Tecnología de procesos
Universidad de Lima,Estudio de prefactibilidad para la instalación de una planta productora de chicles energéticos,"Campos Armijo, Federico Alvaro, Combe Gutierrez, Claudia Sofia","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Reaño Vera, Abel Antonio Martin",2022,"El presente trabajo consiste en un estudio de pre factibilidad para la implementación de una planta procesadora de chicles energéticos.
El primer capítulo define la problemática sobre la falta de sueño de las personas y, por ende, un constante cansancio, que resulta del incremento del ritmo de trabajo. En ese sentido, cobran protagonismo los productos energéticos, razón por la cual se plantea la idea de unos chicles energéticos con cafeína y taurina, con sabor a menta.
Estos chicles se caracterizan por su inmediatez y su largo efecto gracias a que tiene la dosis necesaria de cafeína y taurina. Por otra lado, para determinar la aceptación de este producto, se realizó un estudio de mercado que muestra una intensidad de compra de 5,95 y; con la información extraída de Euromonitor, se calcula una demanda de 450 750 paquetes en el primer año del proyecto.
En el tercer capítulo se elige como mejor localización de la planta el distrito de Lurín en el departamento de Lima. En el siguiente capítulo, se define que el tamaño planta sería el determinado por la relación tamaño-mercado con 494 850 paquetes.
El capítulo V muestra la tecnología necesaria para el proceso productivo que consta básicamente de las operaciones de pesado, fundido, mezclado, extruido, laminado, cortado, empaquetado y encajado. En base a las máquinas encontradas, se utiliza el método de Guerchet y se obtiene un área productiva de 129,09 m2, siendo el área total de la planta, de 512,50 m2.
Finalmente, se realiza una evaluación económico - financiera y social. En primer lugar, se obtienen resultados bastantes positivos con un TIR financiero de 33,10%. Asimismo, en el aspecto social, se muestran los trabajos generados en el distrito de Lurín, y una relación producto / capital de 3,04.",Ingeniería industrial / Producción
Universidad de Lima,Museo de la Cultura de Tarma: arquitectura para el desarrollo turístico y valoración de la identidad provincial,"Puente Breña, Danae Ximena","Trabajo de suficiencia profesional para optar el Título Profesional de Arquitecto, Universidad de Lima","Montestruque Bisso, Octavio Adolfo",2022,"El Museo de la Cultura de Tarma es un proyecto de arquitectura que rescata la importancia de conectarse con el lugar y sus habitantes, a través de la comprensión de su historia, el reconocimiento de su identidad cultural, la preservación de las colecciones existentes, la revalorización de la ciudad y su legado arquitectónico. A través de éste, queremos demostrar que la arquitectura debe actuar en favor de la ciudad, pero, sobre todo, de la memoria colectiva. Como una pieza que articula el espacio y la tradición, construyendo el locus.  En 2016, después de la demolición de lo que era el Museo de la Cultura de Tarma y el consecuente almacenamiento de sus colecciones, hubo un incremento de museos privados informales que actualmente cuentan con piezas provenientes de la venta ilegal y huaquería. El museo propuesto va más allá de ser una edificación, es un espacio de encuentro e interacción donde se recupera y fortalece los lazos de la identidad colectiva y propone construir una capa de historia sin negar su pasado y mirando hacia su futuro.",Arquitectura / Proyectos arquitectónicos
Universidad de Lima,Diseño de dispositivo de control de postura safeback para una estación de trabajo ergonómica,"Cusicanqui Espinoza, Sergio André","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Santos Figueroa, Luis Enrique",2022,"El presente trabajo de investigación tiene como propósito el planteamiento de dos alternativas de prevención a los traumas acumulativos en la espalda para trabajadores de oficina siendo ambas un dispositivo de control de postura y una estación de trabajo del modelo “stand up office”. Para el cumplimiento del objetivo, se ha empleado el método cuantitativo, cualitativo, analítico e inductivo. Como parte del desarrollo de la investigación, se realizó la medición antropométrica de usuarios y la percepción acerca de sus estaciones de trabajo; de igual manera, se analizó las actuales estaciones de trabajo, los factores ambientales de las oficinas y se aplicó el método REBA para el análisis de riesgo disergonómico. Entre los principales resultados destacan el registro de mediciones antropométricas de una muestra de 30 hombres y 30 mujeres, la predisposición del 89,8% de los encuestados en utilizar el dispositivo Safeback y, después de haber analizado las estaciones de trabajo de la empresa de servicios financieros utilizando el método REBA, se determinó que se requiere tomar una acción correctiva. Con los datos recopilados, se diseñó una estación de trabajo que permite al usuario realizar sus actividades diarias alternando entre estar sentado o de pie considerando sus dimensiones antropométricas. Asimismo, se diseñó un dispositivo de control de postura “Safeback” que instruye al usuario a mantener una postura adecuada en cualquier posición. Ambas alternativas son complementarias y deberían ser aplicadas de manera simultánea para lograr la reducción óptima de riesgo disergonómico del trabajador. Resulta importante mencionar que el siguiente trabajo de investigación tiene como objetivo intrínseco la concientización de traumas acumulativos y su relación con la salud de los trabajadores de oficina; así como incentivar las investigaciones en campos de salud ocupacional, ergonomía e higiene postural en empresas.",Ingeniería industrial / Diseño e innovación
Universidad de Lima,Estudio de prefactibilidad para la instalación de un taller de confección de uniformes con protección UV y anti-mosquitos para el sector agroexportador,"Barron Magot, Ana Elvira, Vasquez Quiros, Tito Rafael","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Almandoz Nuñez, Ana Maria",2022,"Este proyecto consiste en la comercialización de uniformes con propiedades de
protección UV, agente anti mosquitos y acabado anti bacterias para operarios del sector
agroexportador. Las empresas del rubro emplean alrededor de 90 000 operarios y estos
afrontan constantemente una serie de complicaciones en sus jornadas laborales. Estos
inconvenientes son principalmente los fuertes rayos del sol, el frecuente acoso de
mosquitos y la suciedad y bacterias que se adhieren a su ropa de trabajo.
Bajo el contexto mencionado, se busca brindarles a las empresas la solución a la
mencionada problemática de sus operarios ofreciendo un uniforme (pantalón y camisa)
que los protege de los rayos solares que puede derivar en cáncer posteriormente, un
acabado de anti mosquitos que repele a estos insectos y permite al operario trabajar con
mayor comodidad y uno anti bacterias que lo mantiene al margen de alguna enfermedad
que puede ser contraída por las mismas bacterias. El uniforme es confeccionado con una
tela dril que fue previamente impregnada por cada una de estas propiedades y es
importada desde Colombia.
A lo largo del proyecto, se determinará la demanda potencial y del proyecto, la
localización del taller de confección, a nivel micro y a nivel marco y el tamaño optimo
del taller. Se elaboró un capítulo enfocado netamente en la ingeniería del proyecto,
elaborando estudios para medir el tiempo que demora confeccionar un uniforme, cuántos
operarios se necesitan, cuántas maquinas, el plano del taller y su distribución, entro otros
estudios.
Se determinará la estructura organizacional de la empresa y finalmente se
comprobará, mediante un análisis económico, financiero y social, si el proyecto es viable.",Ingeniería industrial / Logística
Universidad de Lima,Factores del estancamiento y mortalidad en las MYPES del sector consumo de Lima Metropolitana en el periodo 2020,"Hidalgo Vergara, Sebastián Martin, Xiao, Jianfeng","Tesis para optar el título profesional de Licenciado en Administración, Universidad de Lima","Barnett Valdivia, Neptali Jesús",2022,"La siguiente investigación tiene objetivo determinar los factores que conllevan a las MYPES, del sector consumo en Lima Metropolitana, a un punto de estancamiento o mortalidad en el periodo 2020. Consideramos que el principal factor del estancamiento o cierre de las micro y pequeñas empresas es la ausencia del proceso administrativo, que abarca la falta de planificación, organización, dirección y control. Asimismo, la investigación se sustenta en conceptos, investigaciones, aportes y teorías de diversos autores que permitan la elaboración de este trabajo de investigación. Adicionalmente, se llevó a cabo un trabajo de campo con la finalidad de determinar y analizar cuáles son los factores de estancamiento o mortalidad y si es que existe alguna relación entre las variables estudiadas y si estas van de acuerdo con las hipótesis planteadas. Finalmente, este trabajo cierra con una conclusión, que se enfoca en englobar todo lo analizado y una serie de recomendaciones que podrían ser puestas en práctica.",Ciencias empresariales y económicas / Administración
