	Universidad	Título	Tesista	Grado	Asesor	Resumen	Año	Disciplina
250	Pontificia Universidad Católica del Perú	Modelado lingüístico-prosódico para un sistema conversor texto a voz mediante concatenación de demisílabas	Segura Salas, Elí Rónal	Título Profesional	Suazo Giovannini, Miguel	"El objeto principal de esta tesis ha sido el estudio del procesamiento
lingüístico y prosódico en un sistema conversor de texto a voz,  basado en
concatenación de unidades para un hablante limeño del castellano.
Basado en la información proporcionada por el estudio antes mencionado, se
realizó el análisis, diseño e implementación de los módulos del procesamiento
lingüísticoprosódico de un sistema conversor texto a voz; así como también,
se hicieron los cambios necesarios en los módulos del sintetizador de voz,
para aprovechar la información prosódica (duración segmental y contorno de
frecuencia fundamental) proveniente de esos módulos."	2004	Ingeniería Informática
251	Pontificia Universidad Católica del Perú	Análisis, diseño y construcción de una herramienta para modelado de procesos : MJS process designer	Pedreschi Núñez, Jackeline Marina	Título Profesional	Suazo Giovannini, Miguel	En este trabajo de tesis se presenta el desarrollo de una herramienta software basada en el lenguaje XPDL, que incluye como parte de sus funcionalidades: la definición de procesos, la explosión de actividades, la definición de metodologías y la gestión de versiones de los procesos y metodologías. Para lograr dicho objetivo, se ha desarrollado una extensión al XPDL que permita el manejo de los conceptos de: explosión, metodologías y versionado de procesos, dado que son conceptos que no se encuentran incluidos de forma nativa en el mencionado lenguaje.	2008	Ingeniería Informática
252	Pontificia Universidad Católica del Perú	Análisis y diseño de una herramienta de desarrollo de soluciones para inteligencia de negocios : análisis dimensional	Herrera Geldres, Iván Zico Segundo	Título Profesional	Suazo Giovannini, Miguel	Para aquellos que desarrollan y mantienen los sistemas de información de soporte de decisiones, se hace necesario contar con una herramienta que ofrezca versatilidad y facilidad en la implementación de soluciones. Esta herramienta debe permitir generar reportes de diversos tipos e integrar información y datos desde diversos contextos.	2007	Ingeniería Informática
253	Pontificia Universidad Católica del Perú	Plataforma Web de apoyo a las PYMES para la gestión del comercio exterior	Aliaga Rodríguez, William Frank	Título Profesional	Suazo Giovannini, Miguel	"El sector de las PYMES es el motor de la economía, debido a que proporcionalmente genera la mayor cantidad de empleos lo que demuestra su importancia y su gran potencial.
Se hace necesario enfatizar que para el desarrollo de este sector, más importante que encontrar un lugar en el mercado internacional, es la introducción y difusión de la innovación tecnológica. De ahí la necesidad de desarrollar nuevas aplicaciones que faciliten la negociación comercial y la expansión de sus horizontes de mercado, para acercarlas cada vez más y romper la barrera del idioma que constituye un factor que retarda el desarrollo del comercio exterior.
El objetivo de la presente tesis consiste en el análisis, diseño e implementación de una Plataforma Web de apoyo a la gestión del comercio exterior entre las PYMES de una comunidad española y el resto de empresas de cualquier parte del mundo.
El trabajo de tesis empieza con la definición del marco conceptual, donde se especifica la problemática que enfrentan las PYMES en el proceso exportador. Seguidamente, se identifican los requerimientos y entornos que abarcará el sistema. Asimismo, se presentan los actores, paquetes, se describen los casos de uso, entidades y diagramas de estados de los objetos relevantes del sistema. De la misma manera, se detallan las soluciones ofrecidas para el diseño del sistema, especificando la arquitectura utilizada y describiendo sus componentes, así también, la explicación de los principales procesos. Finalmente se exponen las conclusiones, recomendaciones y ampliaciones que han sido identificadas como resultado de la elaboración del presente trabajo."	2006	Ingeniería Informática
254	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información para el control de becarios y exbecarios de una asociación educativa	Chanca de la Cruz, Marllessi Marilyn	Título Profesional	Suazo Giovannini, Miguel	"El presente proyecto de tesis tiene por objetivo realizar el análisis, diseño e
implementación de un sistema de información web que automatice los procesos de negocio de una asociación educativa que brinda préstamos universitarios, en su sede de Perú."	2009	Ingeniería Informática
255	Pontificia Universidad Católica del Perú	Administrador de proyectos de grid computing que hacen uso de la capacidad de cómputo ociosa de laboratorios informáticos	Iberico Hidalgo, Martín Alberto	Título Profesional	Suazo Giovannini, Miguel	"El proceso de aprendizaje, previo al análisis y construcción de la solución propuesta, de las tecnologías investigadas, y aún más, de la tecnología utilizada, fue fundamental en todo el resto del proceso de desarrollo del proyecto.
Se muestra el caso de aplicación, basado en la validación de modelos estadísticos de inferencia bayesiana utilizando simulaciones intensivas.
Estas simulaciones necesitan una gran capacidad de procesamiento, debido a que utiliza complejas estructuras matemáticas, así como procesos matemáticos muy largos, como generación de datos de entrada, y procesos de simulación iterativos. La cantidad de iteraciones tiende a ser muy grande, con lo que la precisión de toda la simulación es mucho mayor."	2009	Ingeniería Informática
256	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un algoritmo meta heurístico GRASP que permita resolver el problema de rutas de vehículos con capacidad	Gallart Suárez, Joseph	Título Profesional	Suazo Giovannini, Miguel	"El problema de ruteo de vehículos consiste en hallar un conjunto de rutas óptimas de reparto que permitan satisfacer la demanda de clientes. Desde el punto de vista algorítmico, son problemas de optimización combinatoria de alta complejidad debido a la gran cantidad de posibles soluciones existentes que se podrían establecer por las conexiones entre el punto de origen (base de los vehículos de reparto) y los puntos destino (clientes).
En este proyecto se busca implementar dos algoritmos meta heurísticos
GRASP que permitan resolver el problema de ruteo de vehículos con capacidad uniforme considerando la demanda compartida en caso el cliente tenga mayor demanda que la capacidad del vehículo de reparto; además se
realiza una mejora de la solución utilizando un algoritmo de búsqueda local 2 Opt."	2009	Ingeniería Informática
257	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un comparador y sincronizador de bases de datos relacionales de distintos manejadores	Calderón Garay, Giancarlo Roberto	Título Profesional	Suazo Giovannini, Miguel	"El presente proyecto consiste en el análisis, diseño e implementación de un
sincronizador de bases de datos relacionales de distintos manejadores, cuya finalidad es realizar la comparación de objetos entre dos bases de datos y sincronizar dichos objetos de acuerdo a las diferencias encontradas."	2009	Ingeniería Informática
258	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un datawarehouse de soporte de decisiones para un hospital del sistema de salud público	Villanueva Ojeda, Álvaro	Título Profesional	Suazo Giovannini, Miguel	Las entidades de salud del sector público deben de tomar decisiones orientadas a satisfacer la demanda de servicios de los pacientes que acuden a los centros de salud y es por ello muy importante buscar mejorar los sistemas de información ligados a estos procesos de decisión. El presente tema de tesis propone la construcción de un Data Warehouse que servirá de apoyo en el proceso de toma de decisiones del directorio del hospital, el cual, decidirá en base a datos históricos y cuadros generados en línea.	2008	Ingeniería Informática
259	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de administración de incidentes en atención al cliente para una empresa de telecomunicaciones	Vega Bustamante, Rocío Olinda	Título Profesional	Suazo Giovannini, Miguel	"Las empresas de telecomunicaciones son regidas por el ente regulador, por lo que es
necesario monitorear el tiempo de atención de los casos que presente el cliente y de seguir la normativa establecida. De allí que la presente tesis, elaborada en la ciudad de Lima durante el periodo 2007 y 2009, presenta el análisis, desarrollo e implementación de un sistema de
administración de incidentes en Atención al Cliente para una empresa de telecomunicaciones."	2009	Ingeniería Informática
260	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información para la administración de proyectos relacionados a la gestión social del agua y del ambiente en cuencas	Muñoz Díaz, Jorge Luis	Título Profesional	Suazo Giovannini, Miguel	"Para la aplicación de la gestión social del ambiente en cuencas GSAAC es necesario la formulación, ejecución y monitoreo de proyectos en cuencas, para lo cual la administración de los mencionados proyectos y sus consecuentes planes, presupuestos, red de instituciones y comunicaciones se realizan actualmente con aplicativos comerciales tales como Excel, Access y Project, lo que produce aumentos en los costos de operación, demoras en la elaboración de los reportes de análisis y mermas en la calidad de los resultados.
Por este motivo, en el documento de tesis se presenta el proceso y desarrollo de una herramienta especializada que solucione la problemática planteada en la administración de proyectos orientados a la gestión del agua y el ambiente en las cuencas costeñas, andinas y amazónicas."	2008	Ingeniería Informática
261	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información integral de gestión hospitalaria para un establecimiento de salud público	Mestanza Vigo, Willy	Título Profesional	Suazo Giovannini, Miguel	"El trabajo de tesis consiste en realizar un análisis y diseño de los sistemas de información del Hospital Nacional Cayetano Heredia del Perú identificando sus elementos críticos. El análisis se ha realizado teniendo en cuenta las áreas de: la dirección de Estadística e Informática, la dirección de Medicina y la oficina Ejecutiva de Apoyo Administrativo y el diseño se ha basado en la metodología ""The Simplified Method""."	2007	Ingeniería Informática
262	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información de gestión y visualización de procesos de una empresa de tipo AFP	Paz Collado, Jorge Alberto	Título Profesional	Suazo Giovannini, Miguel	Casos de Uso, Vistas, reportes, Diagramas de clases.	2007	Ingeniería Informática
263	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información para la gestión y evaluación del impacto en la sociedad de proyectos de responsabilidad social universitaria	Trevejo Zamora, Nelly Elizabeth	Título Profesional	Suazo Giovannini, Miguel	El presente proyecto de fin de carrera propone realizar la implementación de un sistema de información para la gestión y evaluación del impacto en la sociedad de proyectos de responsabilidad social universitaria. Este sistema permitirá a los usuarios contar con toda la información del proyecto y será también una herramienta útil para la organización de los procesos y actividades que se desarrollan, así como la evaluación de los avances y el impacto que puedan tener en el desarrollo de la sociedad.	2008	Ingeniería Informática
264	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un software para el apoyo del dictado de clases simulando el uso de una pizarra mediante un dispositivo electrónico pen tablet	Vega Navarrete, Brelis Alejandro	Título Profesional	Suazo Giovannini, Miguel	"El objetivo del presente documento es presentar las generalidades del proyecto de
tesis para optar por el título de Ingeniero Informático, teniendo como tema el análisis, diseño e implementación de un software para el apoyo del dictado de clases simulando el uso de una pizarra cuyos datos de entrada se obtendrán mediante un dispositivo electrónico Pen Tablet."	2009	Ingeniería Informática
265	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de una aplicación para la administración de las herramientas de seguridad en una red local	Cohn Muroy, Dennis Stephen	Título Profesional	Suazo Giovannini, Miguel	"Las soluciones presentes en el mercado, a pesar de poseer un adecuado desempeño en cuanto a la prevención y la detección de los ataques, carecen de un entorno intuitivo y de fácil uso, lo cual influye en el registro de reglas débiles o erróneas; provocando agujeros en el perímetro de la seguridad de la red local.
Es por ello, que en el presente documento se plantea como solución analizar, diseñar e implementar una aplicación para facilitar la administración de las herramientas Iptables, Squid y Snort; utilizadas para proteger la información dentro de una red local."	2008	Ingeniería Informática
266	Pontificia Universidad Católica del Perú	Análisis, diseño, implementación e integración de un sistema de gestión de casos y un softphone Web para un centro de contacto virtual con múltiples medios de comunicación	Cedillo Crisosto, Franco Eduardo	Título Profesional	Suazo Giovannini, Miguel	El presente trabajo cubre el análisis, diseño, implementación e integración de componentes para un Centro de Contacto Virtual con múltiples medios de comunicación.	2008	Ingeniería Informática
267	Pontificia Universidad Católica del Perú	Análisis, diseño y construcción de una herramienta para soporte de evaluaciones diagnósticas de procesos para pymes desarrolladoras de software	Vallejos Contreras, Carlos Alberto	Título Profesional	Suazo Giovannini, Miguel	El presente trabajo de tesis abarca el estudio de normas técnicas estándar reconocidas que permiten implentar modelos de evaluación y modelos de mejopra de procesos (como serie de normas técnicas ISOIEC 15504 y Agile SPI), el estudio del modelo de evaluación EvalProSoft que permite medir la capacidad de los procesos de las pymes, el diseño y la implentación de una aplicación que permita informatizar modelos de evaluación de procesos para que, a partir de uno de ellos, se puedan generar y realizar evaluaciones para la determinación del nivel de capacidad de los procesos de las pymes. Esta aplicación informática se llam EvaDiPS.	2009	Ingeniería Informática
268	Pontificia Universidad Católica del Perú	Análisis y diseño de un sistema de trámite de documentos de pago a proveedores vía intranet	Carrera Jimenez, Dorila Sarita	Título Profesional	Suazo Giovannini, Miguel	"La presente tesis propone el análisis y diseño un sistema de trámite de documentos
de pago a proveedores vía Intranet, que puede ser implementado en cualquier
institución organizada en unidades.
La organización de este documento, guía al lector en el conocimiento gradual del
problema, el análisis y diseño de la alternativa de solución. Así, en el primer
capítulo, se presenta la definición y el marco conceptual del problema, y se describe
y sustenta la alternativa de solución. En el segundo capítulo, se detalla la metodología a utilizar, los requerimientos identificados y el análisis de los mismos. En el tercer capítulo, se diseña la alternativa de solución. Finalmente, en el cuarto
capítulo, se incluyen las observaciones, conclusiones y recomendaciones."	2009	Ingeniería Informática
269	Pontificia Universidad Católica del Perú	Análisis y diseño de un sistema para controlar el proceso de emisión de reportes basado en políticas	Valencia Henzler, Óscar Daniel	Título Profesional	Suazo Giovannini, Miguel	"La obtención de reportes y procesamientos en lote son temas de vital importancia para el manejo de una empresa de cualquier magnitud.
El presente trabajo de tesis inicia con un estudio detallado de varias herramientas para la administración de procesos para una organización. Teniendo en cuenta los resultados de este estudio se propone la creación de una herramienta que cuenta con una serie de capacidades y sea fácilmente adaptable a diferentes organizaciones y escenarios."	2008	Ingeniería Informática
270	Pontificia Universidad Católica del Perú	Análisis y diseño de una herramienta de desarrollo de soluciones para inteligencia de negocios módulo de extracción	Mendoza Suárez, César Manuel	Título Profesional	Davila, Abraham	"La Tecnología de Información (TI) es, en la actualidad, un componente de gran importancia para cualquier organización. Sin embargo, son los datos y su adecuado manejo como transformaciones, búsqueda de patrones, y consolidaciones; lo que le da un carácter estratégico a la TI en la organización. En este contexto es donde aparecen conceptos como el de Inteligencia de Negocios, que apoyados en técnicas, estrategias, metodologías y herramientas buscan ofrecer información más adecuada para la toma de decisiones. Una solución de Inteligencia de Negocios puede, con gran posibilidad, cambiar el rumbo de una organización.
La implementación de soluciones de Inteligencia de Negocios se apoya necesariamente en un conjunto de herramientas informáticas que tienen que cubrir un ciclo de trabajo que comienza con la definición de un almacén de datos o Data Warehouse, la extracción y transformación de los datos desde diversas fuentes de información, y finalmente, la explotación de la información a través de diversos reportes tabulares y gráficos que permitan a la alta dirección de una organización la toma de decisiones.
El presente proyecto de tesis busca realizar el análisis y diseño del módulo de extracción de una herramienta básica para Soluciones de Inteligencia de Negocios que cubra todos los procesos del ciclo de trabajo. La arquitectura permitirá que una organización provea el servicio de Inteligencia de Negocios a múltiples organizaciones. Además, se toma en cuenta la escalabilidad del producto para soportar mayor número de fuentes de datos en futuras versiones."	2007	Ingeniería Informática
271	Pontificia Universidad Católica del Perú	Construcción de una herramienta de desarrollo de soluciones para inteligencia de negocios : explotación	Celi Peña, Raúl Alejandro	Título Profesional	Davila, Abraham	"Se dice que la información es poder, y no poder de autoridad y de opresión, sino poder
para la toma de decisiones correctas en el momento oportuno. Día a día más empresas van
descubriendo esto y consideran a la información como un activo muy valioso. Esta idea no es
errónea del todo, si pensamos en que el manejo correcto de información, puede ofrecer a la
empresa, entre otras ventajas, más competitividad. Justamente para cubrir esta necesidad de
manejo de información, se van haciendo necesarias nuevas herramientas TI que permitan
generar los reportes necesarios para los directores y gerentes de la empresa, y los usuarios de
estas herramientas se vuelven cada vez más exigentes, conforme descubren el valor agregado
que estas herramientas ofrecen."	2007	Ingeniería Informática
272	Pontificia Universidad Católica del Perú	Construcción y pruebas de una herramienta de desarrollo de soluciones para inteligencia de negocios : módulo de extracción	Wu Yamashita, Raúl David	Título Profesional	Davila, Abraham	El presente proyecto de tesis busca implementar el módulo de extracción de una herramienta básica para Soluciones de Inteligencia de Negocios que cubra todos los procesos del ciclo de trabajo. La arquitectura permitirá que una organización provea el servicio de Inteligencia de Negocios a múltiples organizaciones. Además, se toma en cuenta la escalabilidad del producto para soportar mayor número de fuentes de datos en futuras versiones.	2006	Ingeniería Informática
